,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7000,659782379676012168,In the heart of Barcelona,38013761.0,1.462677093807629e+18,Annalisa,Ciutat Vella,el Raval,41.37842,2.16561,Entire home/apt,94.0,31.0,6,2024-08-11,0.2,1.0,250,0,
7200,696833486507492569,Attico con vista su Barcellona,160028824.0,1.4685569870640118e+18,Mattia,Horta-Guinardó,Can Baró,41.41466,2.16267,Private room,88.0,31.0,0,,,1.0,365,0,
7400,743224813163484355,Apartamento modernista en el corazon de Barcelona,665793.0,1.4625133873614308e+18,Nicolas,Ciutat Vella,el Barri Gòtic,41.3861445,2.172704,Entire home/apt,570.0,2.0,18,2026-01-25,0.43,11.0,63,4,Barcelona - Regional registration number<br />HUTB-013135<br /><br />Spain - National registration number<br />ESFCTU00A00805400010256300000000000000000HUTB-0131358
7600,787605356922131831,AB Passeig de Gràcia Plaça Catalunya I,4459553.0,1.4625356972083244e+18,AB Apartment Barcelona,Eixample,la Dreta de l'Eixample,41.38851,2.17015,Entire home/apt,286.0,1.0,73,2026-06-19,1.76,243.0,278,20,Barcelona - Regional registration number<br />HUTB-005599<br /><br />Spain - National registration number<br />ESFCTU00000805400050300100000000000000HUTB-005599-500
7800,827352312777142809,Sweett | Girona B2,32037490.0,1.4654707118487836e+18,Sweett,Eixample,la Dreta de l'Eixample,41.39635651179946,2.171693657359956,Entire home/apt,434.0,1.0,120,2026-06-11,2.97,293.0,221,46,Barcelona - Regional registration number<br />HUTB-000411<br /><br />Spain - National registration number<br />ESFCTU000008054000513468000000000000000000HUTB0004111
8000,853531579003592623,Habitación doble con litera en espacio Co-living,245735909.0,1.4693036433736215e+18,Alessandro,Sants-Montjuïc,Sants - Badal,41.3743,2.12671,Private room,35.0,31.0,0,,,14.0,31,0,Spain - National registration number<br />ESHFNT00C60806500000602700900000000000000000000000002<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
8200,886849936033572375,Quiet apartment in popular and central area,511484504.0,1.4702999966989033e+18,Aspasios Diagonal Art,Eixample,la Dreta de l'Eixample,41.398689644611785,2.163905773868521,Entire home/apt,276.0,1.0,74,2026-06-24,2.32,2.0,284,46,Spain - National registration number<br />ESFCTU00000805700060811000000000000000000HUTB-0102382<br /><br />Barcelona - Regional registration number<br />HUTB-010238
8400,912457978095895151,ROOM - Huge room with natural light in Barcelona,491623276.0,1.4702136496661732e+18,Laura,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40201138663446,2.149434196965521,Private room,41.0,31.0,0,,,16.0,84,0,Spain - National registration number<br />ESHFNT00000805900015115300100000000000000000000000005<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
8600,938985742501827154,Estudi lluminós i ben comunicat,18135683.0,1.463037031880568e+18,Ester,Horta-Guinardó,el Baix Guinardó,41.41022,2.16609,Entire home/apt,96.0,31.0,0,,,2.0,87,0,
8800,963772950134453782,Suite Cardona,221480824.0,1.469170558397357e+18,Badi Plus,Eixample,Sant Antoni,41.38253,2.16162,Private room,89.0,32.0,2,2025-11-27,0.09,243.0,160,1,Spain - National registration number<br />ESHFNT00000805600003164500100000000000000000000000005
9000,1005442002019858272,Miret Sant Marti Barcelona City Centre,39789054.0,1.4655939391152788e+18,MYCOlive - Mani,Sant Martí,la Verneda i la Pau,41.421248870536246,2.2012221146384614,Entire home/apt,195.0,31.0,0,,,51.0,360,0,
